Road_Type,Weather,Traffic_Density,Speed_Limit,Bike_Speed,Accident_Severity
Village Road,Rainy,6.0,60.0,66.0,Moderate Accident
Village Road,Clear,7.0,60.0,65.0,Moderate Accident
Village Road,Foggy,2.0,60.0,66.0,Moderate Accident
Village Road,Rainy,3.0,60.0,65.0,Moderate Accident
Village Road,Clear,6.0,60.0,90.0,Moderate Accident
Village Road,Foggy,6.0,60.0,88.0,Moderate Accident
Village Road,Rainy,7.0,60.0,72.0,Moderate Accident
Village Road,Clear,4.0,60.0,106.0,Moderate Accident
Village Road,Foggy,5.0,60.0,74.0,Moderate Accident
Village Road,Rainy,7.0,60.0,106.0,Moderate Accident
Village Road,Clear,3.0,60.0,70.0,Moderate Accident
Village Road,Foggy,8.0,60.0,84.0,Moderate Accident
Village Road,Rainy,6.0,60.0,104.0,Moderate Accident
Village Road,Clear,3.0,60.0,96.0,Moderate Accident
Village Road,Foggy,8.0,60.0,99.0,Moderate Accident
Village Road,Rainy,1.0,60.0,70.0,Moderate Accident
Village Road,Clear,4.0,60.0,73.0,Moderate Accident
Village Road,Foggy,2.0,60.0,91.0,Moderate Accident
Village Road,Rainy,1.0,60.0,68.0,Moderate Accident
Village Road,Clear,1.0,60.0,68.0,Moderate Accident
Village Road,Foggy,6.0,60.0,114.0,Moderate Accident
Village Road,Rainy,8.0,60.0,119.0,Moderate Accident
Village Road,Clear,4.0,60.0,88.0,Moderate Accident
Village Road,Foggy,8.0,60.0,112.0,Moderate Accident
Village Road,Rainy,1.0,60.0,79.0,Moderate Accident
Village Road,Clear,1.0,60.0,96.0,Moderate Accident
Village Road,Foggy,1.0,60.0,76.0,Moderate Accident
Village Road,Rainy,5.0,60.0,77.0,Moderate Accident
Village Road,Clear,8.0,60.0,103.0,Moderate Accident
Village Road,Foggy,3.0,60.0,98.0,Moderate Accident
Village Road,Rainy,4.0,60.0,81.0,Moderate Accident
Village Road,Clear,1.0,60.0,82.0,Moderate Accident
Village Road,Foggy,4.0,60.0,78.0,Moderate Accident
Village Road,Rainy,4.0,60.0,109.0,Moderate Accident
Village Road,Clear,8.0,60.0,101.0,Moderate Accident
Village Road,Foggy,4.0,60.0,72.0,Moderate Accident
Village Road,Rainy,4.0,60.0,79.0,Moderate Accident
Village Road,Clear,8.0,60.0,104.0,Moderate Accident
Village Road,Foggy,6.0,60.0,86.0,Moderate Accident
Village Road,Rainy,2.0,60.0,83.0,Moderate Accident
Village Road,Clear,6.0,60.0,114.0,Moderate Accident
Village Road,Foggy,3.0,60.0,119.0,Moderate Accident
Village Road,Rainy,7.0,60.0,112.0,Moderate Accident
Village Road,Clear,1.0,60.0,83.0,Moderate Accident
Village Road,Foggy,3.0,60.0,97.0,Moderate Accident
Village Road,Rainy,1.0,60.0,100.0,Moderate Accident
Village Road,Clear,7.0,60.0,88.0,Moderate Accident
Village Road,Foggy,2.0,60.0,82.0,Moderate Accident
Village Road,Rainy,7.0,60.0,107.0,Moderate Accident
Village Road,Clear,7.0,60.0,116.0,Moderate Accident
Village Road,Foggy,6.0,60.0,119.0,Moderate Accident
Village Road,Rainy,2.0,60.0,90.0,Moderate Accident
Village Road,Clear,2.0,60.0,81.0,Moderate Accident
Village Road,Foggy,5.0,60.0,68.0,Moderate Accident
Village Road,Rainy,4.0,60.0,92.0,Moderate Accident
Village Road,Clear,5.0,60.0,71.0,Moderate Accident
Village Road,Foggy,2.0,60.0,80.0,Moderate Accident
Village Road,Rainy,5.0,60.0,110.0,Moderate Accident
Village Road,Clear,3.0,60.0,93.0,Moderate Accident
Village Road,Foggy,5.0,60.0,92.0,Moderate Accident
Village Road,Rainy,8.0,60.0,79.0,Moderate Accident
Village Road,Clear,4.0,60.0,67.0,Moderate Accident
Village Road,Foggy,6.0,60.0,71.0,Moderate Accident
Village Road,Rainy,7.0,60.0,91.0,Moderate Accident
Village Road,Clear,1.0,60.0,70.0,Moderate Accident
Village Road,Foggy,1.0,60.0,89.0,Moderate Accident
Village Road,Rainy,8.0,60.0,108.0,Moderate Accident
Village Road,Clear,5.0,60.0,80.0,Moderate Accident
Village Road,Foggy,2.0,60.0,89.0,Moderate Accident
Village Road,Rainy,6.0,60.0,77.0,Moderate Accident
Village Road,Clear,8.0,60.0,112.0,Moderate Accident
Village Road,Foggy,3.0,60.0,89.0,Moderate Accident
Village Road,Rainy,5.0,60.0,85.0,Moderate Accident
Village Road,Clear,4.0,60.0,65.0,Moderate Accident
Village Road,Foggy,2.0,60.0,91.0,Moderate Accident
Village Road,Rainy,6.0,60.0,88.0,Moderate Accident
Village Road,Clear,2.0,60.0,118.0,Moderate Accident
Village Road,Foggy,2.0,60.0,110.0,Moderate Accident
Village Road,Rainy,4.0,60.0,89.0,Moderate Accident
Village Road,Clear,1.0,60.0,82.0,Moderate Accident
Village Road,Foggy,2.0,60.0,101.0,Moderate Accident
Village Road,Rainy,3.0,60.0,98.0,Moderate Accident
Village Road,Clear,7.0,60.0,67.0,Moderate Accident
Village Road,Foggy,2.0,60.0,96.0,Moderate Accident
Village Road,Rainy,7.0,60.0,80.0,Moderate Accident
Village Road,Clear,7.0,60.0,67.0,Moderate Accident
Village Road,Foggy,8.0,60.0,103.0,Moderate Accident
Village Road,Rainy,1.0,60.0,94.0,Moderate Accident
Village Road,Clear,2.0,60.0,86.0,Moderate Accident
Village Road,Foggy,5.0,60.0,80.0,Moderate Accident
Village Road,Rainy,5.0,60.0,67.0,Moderate Accident
Village Road,Clear,1.0,60.0,120.0,Moderate Accident
Village Road,Foggy,4.0,60.0,93.0,Moderate Accident
Village Road,Rainy,4.0,60.0,79.0,Moderate Accident
Village Road,Clear,7.0,60.0,78.0,Moderate Accident
Village Road,Foggy,4.0,60.0,85.0,Moderate Accident
Village Road,Rainy,2.0,60.0,85.0,Moderate Accident
Village Road,Clear,5.0,60.0,77.0,Moderate Accident
Village Road,Foggy,4.0,60.0,79.0,Moderate Accident
Village Road,Rainy,6.0,60.0,66.0,Moderate Accident
Village Road,Clear,4.0,60.0,98.0,Moderate Accident
Village Road,Foggy,5.0,60.0,104.0,Moderate Accident
Village Road,Rainy,4.0,60.0,92.0,Moderate Accident
Village Road,Clear,6.0,60.0,101.0,Moderate Accident
Village Road,Foggy,4.0,60.0,71.0,Moderate Accident
Village Road,Rainy,1.0,60.0,118.0,Moderate Accident
Village Road,Clear,4.0,60.0,82.0,Moderate Accident
Village Road,Foggy,8.0,60.0,80.0,Moderate Accident
Village Road,Rainy,1.0,60.0,69.0,Moderate Accident
Village Road,Clear,3.0,60.0,70.0,Moderate Accident
Village Road,Foggy,3.0,60.0,85.0,Moderate Accident
Village Road,Rainy,5.0,60.0,98.0,Moderate Accident
Village Road,Clear,4.0,60.0,69.0,Moderate Accident
Village Road,Foggy,8.0,60.0,79.0,Moderate Accident
Village Road,Rainy,2.0,60.0,70.0,Moderate Accident
Village Road,Clear,2.0,60.0,97.0,Moderate Accident
Village Road,Foggy,1.0,60.0,117.0,Moderate Accident
Village Road,Rainy,5.0,60.0,67.0,Moderate Accident
Village Road,Clear,4.0,60.0,85.0,Moderate Accident
Village Road,Foggy,1.0,60.0,106.0,Moderate Accident
Village Road,Rainy,3.0,60.0,113.0,Moderate Accident
Village Road,Clear,2.0,60.0,69.0,Moderate Accident
Village Road,Foggy,1.0,60.0,98.0,Moderate Accident
Village Road,Rainy,1.0,60.0,113.0,Moderate Accident
Village Road,Clear,1.0,60.0,68.0,Moderate Accident
Village Road,Foggy,2.0,60.0,71.0,Moderate Accident
Village Road,Rainy,6.0,60.0,114.0,Moderate Accident
Village Road,Clear,6.0,60.0,98.0,Moderate Accident
Village Road,Foggy,3.0,60.0,87.0,Moderate Accident
Village Road,Rainy,6.0,60.0,93.0,Moderate Accident
Village Road,Clear,3.0,60.0,102.0,Moderate Accident
Village Road,Foggy,7.0,60.0,118.0,Moderate Accident
Village Road,Rainy,8.0,60.0,110.0,Moderate Accident
Village Road,Clear,3.0,60.0,72.0,Moderate Accident
Village Road,Foggy,3.0,60.0,106.0,Moderate Accident
Village Road,Rainy,8.0,60.0,97.0,Moderate Accident
Village Road,Clear,1.0,60.0,91.0,Moderate Accident
Village Road,Foggy,1.0,60.0,119.0,Moderate Accident
Village Road,Rainy,5.0,60.0,73.0,Moderate Accident
Village Road,Clear,4.0,60.0,107.0,Moderate Accident
Village Road,Foggy,6.0,60.0,115.0,Moderate Accident
Village Road,Rainy,3.0,60.0,89.0,Moderate Accident
Village Road,Clear,6.0,60.0,86.0,Moderate Accident
Village Road,Foggy,6.0,60.0,99.0,Moderate Accident
Village Road,Rainy,1.0,60.0,116.0,Moderate Accident
Village Road,Clear,6.0,60.0,80.0,Moderate Accident
Village Road,Foggy,2.0,60.0,83.0,Moderate Accident
Village Road,Rainy,6.0,60.0,102.0,Moderate Accident
Village Road,Clear,4.0,60.0,96.0,Moderate Accident
Village Road,Foggy,2.0,60.0,82.0,Moderate Accident
Village Road,Rainy,2.0,60.0,71.0,Moderate Accident
Village Road,Clear,1.0,60.0,99.0,Moderate Accident
Village Road,Foggy,3.0,60.0,91.0,Moderate Accident
Village Road,Rainy,4.0,60.0,81.0,Moderate Accident
Village Road,Clear,6.0,60.0,72.0,Moderate Accident
Village Road,Foggy,3.0,60.0,99.0,Moderate Accident
Village Road,Rainy,3.0,60.0,107.0,Moderate Accident
Village Road,Clear,3.0,60.0,90.0,Moderate Accident
Village Road,Foggy,1.0,60.0,111.0,Moderate Accident
Village Road,Rainy,2.0,60.0,78.0,Moderate Accident
Village Road,Clear,6.0,60.0,85.0,Moderate Accident
Village Road,Foggy,6.0,60.0,82.0,Moderate Accident
Village Road,Rainy,6.0,60.0,103.0,Moderate Accident
Village Road,Clear,8.0,60.0,115.0,Moderate Accident
Village Road,Foggy,4.0,60.0,116.0,Moderate Accident
Village Road,Rainy,4.0,60.0,94.0,Moderate Accident
Village Road,Clear,6.0,60.0,68.0,Moderate Accident
Village Road,Foggy,7.0,60.0,105.0,Moderate Accident
Village Road,Rainy,4.0,60.0,103.0,Moderate Accident
Village Road,Clear,3.0,60.0,89.0,Moderate Accident
Village Road,Foggy,1.0,60.0,89.0,Moderate Accident
Village Road,Rainy,5.0,60.0,110.0,Moderate Accident
Village Road,Clear,8.0,60.0,94.0,Moderate Accident
Village Road,Foggy,8.0,60.0,103.0,Moderate Accident
Village Road,Rainy,1.0,60.0,103.0,Moderate Accident
Village Road,Clear,4.0,60.0,76.0,Moderate Accident
Village Road,Foggy,2.0,60.0,99.0,Moderate Accident
Village Road,Rainy,8.0,60.0,116.0,Moderate Accident
Village Road,Clear,3.0,60.0,72.0,Moderate Accident
Village Road,Foggy,2.0,60.0,103.0,Moderate Accident
Village Road,Rainy,6.0,60.0,100.0,Moderate Accident
Village Road,Clear,4.0,60.0,88.0,Moderate Accident
Village Road,Foggy,2.0,60.0,97.0,Moderate Accident
Village Road,Rainy,1.0,60.0,107.0,Moderate Accident
Village Road,Clear,4.0,60.0,103.0,Moderate Accident
Village Road,Foggy,6.0,60.0,69.0,Moderate Accident
Village Road,Rainy,5.0,60.0,93.0,Moderate Accident
Village Road,Clear,4.0,60.0,81.0,Moderate Accident
Village Road,Foggy,5.0,60.0,119.0,Moderate Accident
Village Road,Rainy,6.0,60.0,82.0,Moderate Accident
Village Road,Clear,7.0,60.0,103.0,Moderate Accident
Village Road,Foggy,2.0,60.0,85.0,Moderate Accident
Village Road,Rainy,6.0,60.0,91.0,Moderate Accident
Village Road,Clear,5.0,60.0,88.0,Moderate Accident
Village Road,Foggy,8.0,60.0,76.0,Moderate Accident
Village Road,Rainy,8.0,60.0,80.0,Moderate Accident
Village Road,Clear,8.0,60.0,67.0,Moderate Accident
Village Road,Foggy,4.0,60.0,86.0,Moderate Accident
Village Road,Rainy,5.0,60.0,86.0,Moderate Accident
Village Road,Clear,3.0,60.0,113.0,Moderate Accident
Village Road,Foggy,1.0,60.0,97.0,Moderate Accident
Village Road,Rainy,5.0,60.0,97.0,Moderate Accident
Village Road,Clear,3.0,60.0,87.0,Moderate Accident
Village Road,Foggy,5.0,60.0,66.0,Moderate Accident
Village Road,Rainy,3.0,60.0,119.0,Moderate Accident
Village Road,Clear,6.0,60.0,105.0,Moderate Accident
Village Road,Foggy,3.0,60.0,85.0,Moderate Accident
Village Road,Rainy,5.0,60.0,80.0,Moderate Accident
Village Road,Clear,8.0,60.0,105.0,Moderate Accident
Village Road,Foggy,4.0,60.0,118.0,Moderate Accident
Village Road,Rainy,6.0,60.0,90.0,Moderate Accident
Village Road,Clear,2.0,60.0,69.0,Moderate Accident
Village Road,Foggy,7.0,60.0,109.0,Moderate Accident
Village Road,Rainy,2.0,60.0,110.0,Moderate Accident
Village Road,Clear,1.0,60.0,70.0,Moderate Accident
Village Road,Foggy,4.0,60.0,66.0,Moderate Accident
Village Road,Rainy,6.0,60.0,87.0,Moderate Accident
Village Road,Clear,2.0,60.0,108.0,Moderate Accident
Village Road,Foggy,7.0,60.0,104.0,Moderate Accident
Village Road,Rainy,6.0,60.0,105.0,Moderate Accident
Village Road,Clear,6.0,60.0,102.0,Moderate Accident
Village Road,Foggy,1.0,60.0,95.0,Moderate Accident
Village Road,Rainy,3.0,60.0,79.0,Moderate Accident
Village Road,Clear,8.0,60.0,67.0,Moderate Accident
Village Road,Foggy,1.0,60.0,92.0,Moderate Accident
Village Road,Rainy,1.0,60.0,105.0,Moderate Accident
Village Road,Clear,8.0,60.0,71.0,Moderate Accident
Village Road,Foggy,3.0,60.0,99.0,Moderate Accident
Village Road,Rainy,1.0,60.0,88.0,Moderate Accident
Village Road,Clear,4.0,60.0,69.0,Moderate Accident
Village Road,Foggy,2.0,60.0,118.0,Moderate Accident
Village Road,Rainy,4.0,60.0,73.0,Moderate Accident
Village Road,Clear,6.0,60.0,74.0,Moderate Accident
Village Road,Foggy,5.0,60.0,105.0,Moderate Accident
Village Road,Rainy,4.0,60.0,120.0,Moderate Accident
Village Road,Clear,1.0,60.0,69.0,Moderate Accident
Village Road,Foggy,1.0,60.0,116.0,Moderate Accident
Village Road,Rainy,4.0,60.0,86.0,Moderate Accident
Village Road,Clear,6.0,60.0,119.0,Moderate Accident
Village Road,Foggy,4.0,60.0,103.0,Moderate Accident
Village Road,Rainy,8.0,60.0,114.0,Moderate Accident
Village Road,Clear,4.0,60.0,66.0,Moderate Accident
Village Road,Foggy,3.0,60.0,103.0,Moderate Accident
Village Road,Rainy,2.0,60.0,84.0,Moderate Accident
Village Road,Clear,7.0,60.0,105.0,Moderate Accident
Village Road,Foggy,3.0,60.0,113.0,Moderate Accident
Village Road,Rainy,6.0,60.0,96.0,Moderate Accident
